nationality,swift_id,name,phonetic_name,local_code,zh-tw,zh-cn
CN,ICBKCNBJ,中国工商银行,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,中國工商銀行,
CN,ABOCCNBJ,中国农业银行,AGRICULTURAL BANK OF CHINA,,中國農業銀行,
CN,BKCHCNBJ,中国银行,BANK OF CHINA LIMITED,,中國銀行,
CN,PCBCCNBJ,中国建设银行,CHINA CONSTRUCTION BANK CORPORATION,,中國建設銀行,
CN,COMMCNSH,交通银行,BANK OF COMMUNICATIONS,,交通銀行,
CN,PSBCCNBJ,中国邮政储蓄银行,POSTAL SAVINGS BANK OF CHINA,,中國郵政儲蓄銀行,
CN,EVERCNBJ,中国光大银行,CHINA EVERBRIGHT BANK,,中國光大銀行,
CN,MSBCCNBJ,中国民生银行,"CHINA MINSHENG BANKING CORPORATION, LIMITED",,中國民生銀行,
CN,CMBCCNBS,招商银行,CHINA MERCHANTS BANK,,招商銀行,
CN,CIBKCNBJ,中信银行,CITIC BANK CORPORATION LIMITED,,中信銀行,
CN,HXBKCNBJ,华夏银行,HUA XIA BANK,,華夏銀行,
CN,SPDBCNSH,浦发银行,SHANGHAI PUDONG DEVELOPMENT BANK,,浦發銀行,
CN,SZDBCNBS,平安银行,PING AN BANK,,平安銀行,
CN,GDBKCN22,广发银行,CHINA GUANGFA BANK,,廣發銀行,
CN,FJIBCNBA,兴业银行,INDUSTRIAL BANK,,興業銀行,
CN,ZJCBCN2N,浙商银行,CHINA ZHESHANG BANK,,浙商銀行,
CN,CHBHCNBT,渤海银行,CHINA BOHAI BANK,,渤海銀行,
CN,HFBACNSD,恒丰银行,HENGFENG BANK,,恆豐銀行,
CN,DBSSCNSH,星展银行,DBS Bank,,星展銀行,
CN,BEASCNSH,东亚银行,The Bank of East Asia,,東亞銀行,
CN,HSBCCNSH,香港上海汇丰银行,The Hongkong and Shanghai Banking Corporation,,香港上海滙豐銀行,
CN,HASECNSH,恒生银行,Hang Seng Bank,,恆生銀行,